Company-Unique,Global-ID,Model,Variant-ID,Variant-desc,Class-ID,Class-desc
MARUTI,1,Alto800,1,Petrol,1,Hatchback
MARUTI,2,Alto800,3,CNG,1,Hatchback
MARUTI,3,Altok10,2,Diesel,1,Hatchback
MARUTI,4,Altok10,1,Petrol,1,Hatchback
MARUTI,5,Wagon R,1,Petrol,1,Hatchback
MARUTI,6,Wagon R,3,CNG,1,Hatchback
MARUTI,7,Celerio,1,Petrol,1,Hatchback
MARUTI,8,Celerio,3,CNG,1,Hatchback
MARUTI,9,Celerio X,1,Petrol,1,Hatchback
MARUTI,10,Celerio X AGS,1,Petrol,1,Hatchback
MARUTI,11,Swift,1,Petrol,1,Hatchback
MARUTI,12,Swift,2,Diesel,1,Hatchback
MARUTI,13,A-Star,1,Petrol,1,Hatchback
MARUTI,14,Maruti 800,1,Petrol,1,Hatchback
MARUTI,15,Ritz,1,Petrol,1,Hatchback
MARUTI,16,Ritz,2,Diesel,1,Hatchback
MARUTI,17,Zen,1,Petrol,1,Hatchback
MARUTI,18,Zen Estilo,3,CNG,1,Hatchback
MARUTI,19,Dzire,1,Petrol,2,Sedan
MARUTI,20,Dzire,2,Diesel,2,Sedan
MARUTI,21,Dzire,3,CNG,2,Sedan
MARUTI,22,Dzire,4,Hybrid,2,Sedan
MARUTI,23,Esteem,1,Petrol,2,Sedan
MARUTI,24,Esteem,2,Diesel,2,Sedan
MARUTI,25,SX 4,1,Petrol,2,Sedan
MARUTI,26,SX 4,2,Diesel,2,Sedan
MARUTI,27,Kizashi,1,Petrol,2,Sedan
MARUTI,28,Ertiga,1,Petrol,3,SUV
MARUTI,29,Ertiga,2,Diesel,3,SUV
MARUTI,30,Ertiga,3,CNG,3,SUV
MARUTI,31,Gypsy,1,Petrol,3,SUV
MARUTI,32,Gypsy,2,Diesel,3,SUV
MARUTI,33,Vitara Brezza,1,Petrol,3,SUV
MARUTI,34,Ciaz,1,Petrol,2,Sedan
MARUTI,35,Ciaz,2,Diesel,2,Sedan
MARUTI,36,Baleno,1,Petrol,1,Hatchback
MARUTI,37,Baleno,2,Diesel,1,Hatchback
MARUTI,38,S-Cross,2,Diesel,1,Hatchback
MARUTI,39,IGNIS,1,Petrol,1,Hatchback
MARUTI,40,IGNIS,1,Petrol,1,Hatchback
MARUTI,41,Omni,1,Petrol,4,Van
MARUTI,42,Eeco,1,Petrol,4,Van
HYUNDAI,43,Santro- Xing,1,Petrol,1,Hatchback
HYUNDAI,44,Grand i10,2,Diesel,1,Hatchback
HYUNDAI,45,Grand i10,1,Petrol,1,Hatchback
HYUNDAI,46,Elite i20,1,Petrol,1,Hatchback
HYUNDAI,47,Elite i20,2,Diesel,1,Hatchback
HYUNDAI,48,i20 Active,1,Petrol,1,Hatchback
HYUNDAI,49,i20 Active,2,Diesel,1,Hatchback
HYUNDAI,50,Grand  i10 prime,1,Petrol,1,Hatchback
HYUNDAI,51,Grand  i10 prime,2,Diesel,1,Hatchback
HYUNDAI,52,Xcent,3,CNG,2,Sedan
HYUNDAI,53,Eon,1,Petrol,1,Hatchback
HYUNDAI,54,Getz,1,Petrol,1,Hatchback
HYUNDAI,55,Getz-prime,1,Petrol,1,Hatchback
HYUNDAI,56,Xcent,1,Petrol,2,Sedan
HYUNDAI,57,Xcent,2,Diesel,2,Sedan
HYUNDAI,58,Verna,1,Petrol,2,Sedan
HYUNDAI,59,Verna,2,Diesel,2,Sedan
HYUNDAI,60,Elantra,1,Petrol,2,Sedan
HYUNDAI,61,Elantra,2,Diesel,2,Sedan
HYUNDAI,62,Accent,1,Petrol,2,Sedan
HYUNDAI,63,Accent,2,Diesel,2,Sedan
HYUNDAI,64,Fluidic Verna,1,Petrol,2,Sedan
HYUNDAI,65,Fluidic Verna,2,Diesel,2,Sedan
HYUNDAI,66,Sonata,1,Petrol,2,Sedan
HYUNDAI,67,Sonata,2,Diesel,2,Sedan
HYUNDAI,68,Creta,1,Petrol,3,SUV
HYUNDAI,69,Creta,2,Diesel,3,SUV
HYUNDAI,70,Tucson,1,Petrol,3,SUV
HYUNDAI,71,Tucson,2,Diesel,3,SUV
HYUNDAI,72,Santa Fe,1,Petrol,3,SUV
HYUNDAI,73,Santa Fe,2,Diesel,3,SUV
HYUNDAI,74,Venue,1,Petrol,3,SUV
HYUNDAI,75,Venue,2,Diesel,3,SUV
TATA,76,Tiago,1,Petrol,1,Hatchback
TATA,77,Tiago,2,Diesel,1,Hatchback
TATA,78,Bolt,1,Petrol,1,Hatchback
TATA,79,Bolt,2,Diesel,1,Hatchback
TATA,80,Gen x Nano,1,Petrol,1,Hatchback
TATA,81,Tigor,1,Petrol,2,Sedan
TATA,82,Tigor,2,Diesel,2,Sedan
TATA,83,Zest,1,Petrol,2,Sedan
TATA,84,Zest,2,Diesel,2,Sedan
TATA,85,Harrier,2,Diesel,3,SUV
TATA,86,Nexon,1,Petrol,3,SUV
TATA,87,Nexon,2,Diesel,3,SUV
TATA,88,Hexa,2,Diesel,3,SUV
TATA,89,Safari Storme,2,Diesel,3,SUV
TATA,90,Sumo Glod,2,Diesel,3,SUV
TATA,91,Aria,2,Diesel,3,SUV
TATA,92,Indica,1,Petrol,1,Hatchback
TATA,93,Indica,2,Diesel,1,Hatchback
TATA,94,Indica-V2,2,Diesel,1,Hatchback
TATA,95,Indica-Vista,1,Petrol,1,Hatchback
TATA,96,Indica-Vista,2,Diesel,1,Hatchback
TATA,97,Indigo,1,Petrol,2,Sedan
TATA,98,Indigo,2,Diesel,2,Sedan
TATA,99,Indigo-eCS,3,CNG,2,Sedan
TATA,100,Indigo-eCS,2,Diesel,2,Sedan
TATA,101,Indigo-eCS,1,Petrol,2,Sedan
TATA,102,Indigo-Marina,1,Petrol,1,Hatchback
TATA,103,Indigo-XL,1,Petrol,2,Sedan
TATA,104,Indigo-XL,2,Diesel,2,Sedan
TATA,105,Indigo-XL,3,CNG,2,Sedan
TATA,106,Nano,1,Petrol,1,Hatchback
TATA,107,Safari,2,Diesel,3,SUV
TATA,108,Sumo-Grande,2,Diesel,3,SUV
TATA,109,Sumo-Grande-MK-II,2,Diesel,3,SUV
TATA,110,Sumo-Spacio,2,Diesel,3,SUV
TATA,111,Sumo-Victa,2,Diesel,3,SUV
TATA,112,Venture,2,Diesel,4,Van
TATA,113,Winger,2,Diesel,4,Van
MAHINDRA,114,XUV 300,1,Petrol,3,SUV
MAHINDRA,115,XUV 300,2,Diesel,3,SUV
MAHINDRA,116,Scorpio,2,Diesel,3,SUV
MAHINDRA,117,XUV 500,2,Diesel,3,SUV
MAHINDRA,118,XUV 500,2,Diesel,3,SUV
MAHINDRA,119,Bolero,2,Diesel,3,SUV
MAHINDRA,120,Marazzo,2,Diesel,3,SUV
MAHINDRA,121,KUV 100,2,Diesel,3,SUV
MAHINDRA,122,KUV 100,2,Diesel,3,SUV
MAHINDRA,123,THAR,2,Diesel,3,SUV
MAHINDRA,124,Alturas G4,2,Diesel,3,SUV
MAHINDRA,125,TUV 300,2,Diesel,3,SUV
MAHINDRA,126,XYLO,2,Diesel,3,SUV
MAHINDRA,127,Verito,2,Diesel,3,SUV
MAHINDRA,128,Nuvo sport,2,Diesel,3,SUV
MAHINDRA,129,TUV 300 Plus,2,Diesel,3,SUV
MAHINDRA,130,Scorpio Geto,2,Diesel,3,SUV
MAHINDRA,131,Rexton,2,Diesel,3,SUV
MAHINDRA,132,Ouanto,2,Diesel,3,SUV
MAHINDRA,133,Varito,2,Diesel,2,Sedan
MAHINDRA,134,Logan,1,Petrol,2,Sedan
MAHINDRA,135,Logan,1,Petrol,2,Sedan
MAHINDRA,136,Varito Vibe,2,Diesel,1,Hatchback
TOYOTA,137,Etios Liva,1,Petrol,1,Hatchback
TOYOTA,138,Etios Liva,2,Diesel,1,Hatchback
TOYOTA,139,Etios Cross,1,Petrol,1,Hatchback
TOYOTA,140,Etios Cross,2,Diesel,1,Hatchback
TOYOTA,141,Yaris,1,Petrol,2,Sedan
TOYOTA,142,Platinum Etios,1,Petrol,2,Sedan
TOYOTA,143,Platinum Etios,2,Diesel,2,Sedan
TOYOTA,144,Corolla Altis,1,Petrol,2,Sedan
TOYOTA,145,Corolla Altis,2,Diesel,2,Sedan
TOYOTA,146,Camry,1,Petrol,2,Sedan
TOYOTA,147,Prius,1,Petrol,2,Sedan
TOYOTA,148,Innova,1,Petrol,3,SUV
TOYOTA,149,Innova,2,Diesel,3,SUV
TOYOTA,150,Fortuner,1,Petrol,3,SUV
TOYOTA,151,Fortuner,2,Diesel,3,SUV
TOYOTA,152,Land Cruiser,2,Diesel,3,SUV
TOYOTA,153,Land Cruiser Prado,2,Diesel,3,SUV
TOYOTA,154,Innova Crysta,1,Petrol,3,SUV
TOYOTA,155,Qualis,2,Diesel,3,SUV
HONDA,156,WRV,1,Petrol,1,Hatchback
HONDA,157,WRV,2,Diesel,1,Hatchback
HONDA,158,Jazz,1,Petrol,1,Hatchback
HONDA,159,Jazz,2,Diesel,1,Hatchback
HONDA,160,Brio,1,Petrol,1,Hatchback
HONDA,161,Amaze,1,Petrol,2,Sedan
HONDA,162,Amaze,2,Diesel,2,Sedan
HONDA,163,City,1,Petrol,2,Sedan
HONDA,164,City,2,Diesel,2,Sedan
HONDA,165,BR-V,1,Petrol,2,Sedan
HONDA,166,BR-V,2,Diesel,2,Sedan
HONDA,167,Accord Hybrid,1,Petrol,2,Sedan
HONDA,168,Civic,1,Petrol,2,Sedan
HONDA,169,Civic,2,Diesel,2,Sedan
HONDA,170,CR-V,1,Petrol,3,SUV
HONDA,171,CR-V,2,Diesel,3,SUV
HONDA,172,Mobilio,1,Petrol,3,SUV
HONDA,173,Mobilio,2,Diesel,3,SUV
FORD,174,Figo,1,Petrol,1,Hatchback
FORD,175,Figo,2,Diesel,1,Hatchback
FORD,176,Fiesta,1,Petrol,1,Hatchback
FORD,177,Fiesta,2,Diesel,1,Hatchback
FORD,178,Aspire,1,Petrol,2,Sedan
FORD,179,Aspire,2,Diesel,2,Sedan
FORD,180,Mustang,1,Petrol,2,Sedan
FORD,181,Mustang,2,Diesel,2,Sedan
FORD,182,Ikon,1,Petrol,2,Sedan
FORD,183,Ikon,2,Diesel,2,Sedan
FORD,184,Fusion,1,Petrol,2,Sedan
FORD,185,Fusion,2,Diesel,2,Sedan
FORD,186,Classic,1,Petrol,2,Sedan
FORD,187,Classic,2,Diesel,2,Sedan
FORD,188,Ecosport,1,Petrol,3,SUV
FORD,189,Ecosport,2,Diesel,3,SUV
FORD,190,Ford Endeavour,1,Petrol,3,SUV
FORD,191,Freestyle,1,Petrol,3,SUV
FORD,192,Freestyle,2,Diesel,3,SUV
VOLKSWAGON,193,Polo,1,Petrol,1,Hatchback
VOLKSWAGON,194,Polo,2,Diesel,1,Hatchback
VOLKSWAGON,195,Ameo,1,Petrol,2,Sedan
VOLKSWAGON,196,Ameo,2,Diesel,2,Sedan
VOLKSWAGON,197,Vento,2,Diesel,1,Hatchback
VOLKSWAGON,198,Vento,2,Diesel,2,Sedan
VOLKSWAGON,199,Vento,2,Diesel,1,Hatchback
VOLKSWAGON,200,Passat,2,Diesel,2,Sedan
VOLKSWAGON,201,Tiguan,3,CNG,2,Sedan
NISSAN,202,Micra,1,Petrol,1,Hatchback
NISSAN,203,Micra,2,Diesel,1,Hatchback
NISSAN,204,Micra Active,1,Petrol,1,Hatchback
NISSAN,205,Sunny,1,Petrol,2,Sedan
NISSAN,206,Sunny,2,Diesel,2,Sedan
NISSAN,207,Teana,1,Petrol,2,Sedan
NISSAN,208,Kick,1,Petrol,3,SUV
NISSAN,209,Kick,2,Diesel,3,SUV
NISSAN,210,Terrano,1,Petrol,3,SUV
NISSAN,211,Terrano,2,Diesel,3,SUV
NISSAN,212,X-Trail,1,Petrol,3,SUV
SKODA,213,Fabia,2,Diesel,1,Hatchback
SKODA,214,Fabia,1,Petrol,1,Hatchback
SKODA,215,Rapid,1,Petrol,2,Sedan
SKODA,216,Rapid,2,Diesel,2,Sedan
SKODA,217,Octavia,1,Petrol,2,Sedan
SKODA,218,Octavia,2,Diesel,2,Sedan
SKODA,219,Superb,1,Petrol,2,Sedan
SKODA,220,Superb,2,Diesel,2,Sedan
SKODA,221,Kodiaq,2,Diesel,3,SUV
FIAT,222,Cross,1,Petrol,1,Hatchback
FIAT,223,Cross Active,2,Diesel,1,Hatchback
FIAT,224,Cross Dynamic,2,Diesel,1,Hatchback
FIAT,225,Cross Emotion,1,Petrol,1,Hatchback
FIAT,226,Cross Emotion,2,Diesel,1,Hatchback
FIAT,227,Abarth PUNTO,1,Petrol,1,Hatchback
FIAT,228, PUNTO EVO,1,Petrol,1,Hatchback
FIAT,229, PUNTO EVO,2,Diesel,1,Hatchback
FIAT,230, PUNTO EVO Active,2,Diesel,1,Hatchback
FIAT,231, PUNTO EVO Dynamic,1,Petrol,1,Hatchback
FIAT,232, PUNTO EVO Dynamic,2,Diesel,1,Hatchback
