Pincode,Post office,g1,g2
226001,A P Sabha,ATVDGRG_001,ATVDGRG_002
226001,Canal Colony,ATVDGRG_001,ATVDGRG_002
226001,CPMG Campus,ATVDGRG_001,ATVDGRG_002
226001,Darul Safa,ATVDGRG_001,ATVDGRG_002
226001,Gokhley Marg,ATVDGRG_001,ATVDGRG_002
226001,H C Bench,ATVDGRG_001,ATVDGRG_002
226001,Jawahar Bhawan,ATVDGRG_001,ATVDGRG_003
226001,Lalbagh,ATVDGRG_001,ATVDGRG_003
226001,Lucknow G.P.O.,ATVDGRG_001,ATVDGRG_003
226001,Secretariat,ATVDGRG_001,ATVDGRG_003
226002,Arjunganj,ATVDGRG_001,ATVDGRG_003
226002,Bakkash,ATVDGRG_001,ATVDGRG_003
226002,Barauna,ATVDGRG_001,ATVDGRG_003
226002,Bhadrukh,ATVDGRG_001,ATVDGRG_003
226002,Bijnaur,ATVDGRG_001,ATVDGRG_003
226002,C B Lines,ATVDGRG_001,ATVDGRG_003
226002,Chakganjaria,ATVDGRG_001,ATVDGRG_004
226002,Chandrawal,ATVDGRG_001,ATVDGRG_004
226002,D S Bazar,ATVDGRG_001,ATVDGRG_004
226002,Dilkusha,ATVDGRG_002,ATVDGRG_004
226002,Hasanpur Keoli,ATVDGRG_002,ATVDGRG_004
226002,Kharika,ATVDGRG_002,ATVDGRG_004
226002,Mati,ATVDGRG_002,ATVDGRG_004
226002,Military Hospital,ATVDGRG_002,ATVDGRG_004
226002,Nilmatha,ATVDGRG_002,ATVDGRG_004
226002,Shia Lines,ATVDGRG_003,ATVDGRG_004
226002,Topkhana Bazar,ATVDGRG_003,ATVDGRG_005
226002,Utrathia,ATVDGRG_003,ATVDGRG_005
226003,Amberganj B.O,ATVDGRG_003,ATVDGRG_005
226003,Chaupatiyan B.O,ATVDGRG_003,ATVDGRG_005
226003,Hasnain Market,ATVDGRG_003,ATVDGRG_005
226003,Husainabad,ATVDGRG_003,ATVDGRG_005
226003,Lucknow Chowk,ATVDGRG_003,ATVDGRG_005
226003,Mansoor Nagar,ATVDGRG_003,ATVDGRG_005
226003,Medical College,ATVDGRG_003,ATVDGRG_005
226003,Nadan Mahal B.O,ATVDGRG_004,ATVDGRG_005
226003,Naubasta,ATVDGRG_004,ATVDGRG_005
226003,Raja Bazar,ATVDGRG_004,ATVDGRG_005
226003,Saadatganj,ATVDGRG_004,ATVDGRG_005
226003,Sarai Mali Khan,ATVDGRG_004,ATVDGRG_005
226003,Sarfraj,ATVDGRG_004,ATVDGRG_005
226003,T. Tib B.O,ATVDGRG_004,ATVDGRG_005
226003,Thakurganj B.O,ATVDGRG_004,ATVDGRG_005
226003,Victoriaganj,ATVDGRG_004,ATVDGRG_005
226003,Yahiaganj,ATVDGRG_004,ATVDGRG_005
226004,A N L Colony,ATVDGRG_005,ATVDGRG_005
226004,Aishbagh,ATVDGRG_005,ATVDGRG_005
226004,Arya Nagar,ATVDGRG_005,ATVDGRG_005
